Program,Discipline,SUBJ,CRSE_NUMB,CRS ID,CRS TITLE,CSLO
Computer and Cyber Sciences,Cybersecurity,CYBR,C284,CYBR C284,Work Experience Education,Understand and practice professional behavior and etiquette.   Demonstrate effective time management and organizational skills.   Describe practical experience and skills gained through work experience.
Computer and Cyber Sciences,Information Computer Sciences,ICS,C120,ICS C120,Introduction to Programming,"Develop a foundational understanding of programming concepts, including variables, data types, and basic control structures.  Apply fundamental control structures, including loops and conditional statements, to control program flow.  Demonstrate file inpu"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C123,ICS C123,Fund Data Structures,"Explain the significance of data structures in computer science and their role in algorithm efficiency.  Design and describe a software project that include algorithms, binary trees, graphs, sorting and hashing.  Construct a software system that includes "
Computer and Cyber Sciences,Information Computer Sciences,ICS,C141,ICS C141,Concepts of Programming Langs,"Demonstrate the ability to differentiate between programming paradigms, such as imperative, functional, object-oriented, and logic programming.  Apply language design principles, including data abstraction and encapsulation.  Evaluate programming language"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C165,ICS C165,Foundations of Data Sci and AI,"Describe the components of the data science and artificial intelligence lifecycles.  Explain the ethical considerations in data science and artificial intelligence, including data privacy and bias.  Propose a data science or artificial intelligence soluti"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C230,ICS C230,Secure Coding and Design,"Describe the key principles of secure coding and design in software development.  Provide mitigation techniques for common software vulnerabilities such as injection attacks, cross-site scripting (XSS), and cross-site request forgery (CSRF).  Design and d"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C240,ICS C240,Comp Org & Assembly Lang,"Identify and describe the components of the memory hierarchy, including caches, random-access memory (RAM), and secondary storage.  Debug and optimize assembly language programs for specific tasks.  Apply low-level programming techniques to solve real-wor"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C250,ICS C250,Object-Oriented Programming,"Create classes and objects in an object-oriented programming language.  Write programming code to implement encapsulation, inheritance, and polymorphism to model real-world entities and relationships.  Analyze and refactor given source code to improve sof"
Computer and Cyber Sciences,Information Computer Sciences,ICS,C255,ICS C255,Algorithm Design,Analyze and describe the time and space complexity of algorithms using Big O notation.  Apply appropriate algorithmic design strategies to efficiently solve a range of computational problems.  Implement algorithms in various design paradigms such as dynam
Computer and Cyber Sciences,Information Computer Sciences,ICS,C265,ICS C265,Artificial Intelligence,"Given a sample dataset, train a model to evaluate the model's performance and visualize the results.  Implement a basic chatbot using rule-based or machine learning approaches.  Propose strategies for responsible AI development and deployment."
Computer and Cyber Sciences,Information Computer Sciences,ICS,C290,ICS C290,Data Science & Mach. Learning,Describe data science and machine learning concepts.  Identify appropriate data science and machine learning models and algorithms for a given scenario.  Apply data science and machine learning techniques to relevant business situations. 
Computer and Cyber Sciences,Information Technology,IT,C104,IT C104,IT Fundamentals (Tech+),Explain the troubleshooting methodology commonly used in Information Technology (IT).  Compare and contrast components of an operating system.  Explain methods and best practices for securing devices.  Configure computing assets for incorporation into com
Computer and Cyber Sciences,Information Technology,IT,C110,IT C110,Comp Hardware & Software (A+),"Design and implement hardware and software documentation.  Demonstrate proper safety procedures for computer disassembly and reassembly.  Configure an operating system for network connectivity, including Domain Name System (DNS), Gateway, IP address (Inte"
Computer and Cyber Sciences,Information Technology,IT,C128,IT C128,Computer Networking Principles,"Describe and differentiate the devices and services used to support communications in data networks and the Internet.  Design, calculate, and apply subnet masks and addresses to fulfill given requirements using alphanumeric addressing methods.  Describe t"
Computer and Cyber Sciences,Information Technology,IT,C158,IT C158,Contemporary OS (Server+),Demonstrate the ability to configure different types of file systems.  Analyze the access and control methods to administer network-based hardware.  Perform proper patch management techniques to ensure server maintenance and device driver updates.
Computer and Cyber Sciences,Information Technology,IT,C191,IT C191,Linux OS Principles (Linux+),"Explain concepts and terminology associated with Linux administration.  Demonstrate the ability to install, configure, manage, and operate a Linux server system.  Create basic scripts for Linux administration automation."
Computer and Cyber Sciences,Information Technology,IT,C198,IT C198,Cloud Foundations,"Demonstrate the ability to configure different types of cloud components within AWS infrastructure.  Analyze the different pricing tiers of AWS components and provide a solution to a given a lab scenario.  Demonstrate the ability to design, plan, and exec"
Computer and Cyber Sciences,Information Technology,IT,C201,IT C201,CCNA 1: Intro to Networks,"Describe the foundational concepts of computer networking.  Explain concepts and terminology related to the OSI model, the CLI, IPv4 and v6 routing, routers and switches.  Given a scenario configure a basic switch/router network."
Computer and Cyber Sciences,Information Technology,IT,C202,IT C202,CCNA 2: SRWE,"Explain concepts and terminology related to switches, routers, and wireless devices.  Given a scenario, troubleshoot and update a basic network configuration.  Given a scenario, configure and design a secure network using various switches, routers, and wi"
Computer and Cyber Sciences,Information Technology,IT,C203,IT C203,CCNA 3: ENSA,"Explain concepts and terminology related to enterprise networks, security, and automaton.  Given a scenario configure a secure enterprise network."
Computer and Cyber Sciences,Information Technology,IT,C275,IT C275,AI Intergration: Local & Cloud,"Demonstrate the ability to design and implement hybrid AI architectures that integrate local and cloud environments effectively.  Utilize cloud platforms such as AWS, Azure, or Google Cloud for AI model training, deployment, and scalability.  Implement se"
Computer and Cyber Sciences,Information Technology,IT,C281,IT C281,Work Experience Education,"Obtain and act upon feedback from supervisor(s) in related field of Information Technology based on work performance, training evaluation, and practical experience.   Apply and build on theoretical and practical education in the performance of work tasks "
Computer and Cyber Sciences,Information Technology,IT,C282,IT C282,Work Experience Education,"Obtain and act upon feedback from supervisor(s) in related field of Information Technology based on work performance, training evaluation, and practical experience.   Apply and build on theoretical and practical education in the performance of work tasks "
Computer and Cyber Sciences,Information Technology,IT,C283,IT C283,Work Experience Education,"Obtain and act upon feedback from supervisor(s) in related field of Information Technology based on work performance, training evaluation, and practical experience.   Apply and build on theoretical and practical education in the performance of work tasks "
Computer and Cyber Sciences,Information Technology,IT,C284,IT C284,Work Experience Education,"Obtain and act upon feedback from supervisor(s) in related field of Information Technology based on work performance, training evaluation, and practical experience.   Apply and build on theoretical and practical education in the performance of work tasks "
Computer and Cyber Sciences,Information Technology,IT,C295,IT C295,Cloud Architect,"Explain concepts, terminology, and practices associated with cloud architecture design and setup.  Given a scenario, design, configure, and secure working cloud infrastructure.  Describe the six pillars of a well-architected cloud system: operational exce"
Counseling,Counseling,COUN,C104,COUN C104,Career and Life Planning,"Assess and evaluate personal characteristics, including interests, skills, values, and personality traits as they apply to career and personal decisions throughout the lifespan.  Define and demonstrate the use of career research resources.  Implement job-"
Counseling,Counseling,COUN,C105,COUN C105,Strategies for College Success,"Apply and practice critical and creative thinking processes as they apply to decision-making and problem-solving.  Identify academic goals based on an understanding of higher education and develop an educational plan consistent with goals.  Define social,"
Counseling,Counseling,COUN,C108,COUN C108,Applied Stress Management,"Describe the psychophysiology of stress, the stress response, causes of stress, and the relationship between stress and disease.  Identify stressors experienced throughout the life span, with particular emphasis on stressors experienced by college student"
Counseling,Counseling,COUN,C109,COUN C109,Develop/Understand Happiness,"Apply knowledge of research-based activities covered in the course, by setting personal goals that have been scientifically shown to influence positive emotions.  Identify and articulate empirical findings and key concepts relative to the concept of happi"
Digital Media Design,Digital Media Design,DMD,C100,DMD C100,Intro to Digital Art & Media,Analyze and integrate traditional design principles with digital tools to create multimedia projects while safely handling and maintaining digital imaging hardware and materials.   Develop and produce projects within a set deadline through experimentation
Digital Media Design,Digital Media Design,DMD,C111,DMD C111,3D Animation,"Use 3D software and animation production processes and techniques to produce a demo reel that demonstrates a beginning proficiency in the principles of 3D Modeling as pertains to simulation, animation, and multimedia.  Identify and apply the authoring too"
Digital Media Design,Digital Media Design,DMD,C116,DMD C116,Visual Design (Photoshop),"Evaluate and apply design principles to create and refine digital images using Adobe Photoshop, demonstrating proficiency in editing techniques.   Analyze project requirements to design, develop, and export digital graphics for various platforms, includin"
Digital Media Design,Digital Media Design,DMD,C117,DMD C117,Typography,"Evaluate typographic elements and apply design principles to create effective visual communication.   Design and produce typographic layouts that enhance readability, hierarchy, and audience engagement across digital and print media.   Analyze and select "
Digital Media Design,Digital Media Design,DMD,C118,DMD C118,Graphic Design/Illustration,"Apply design and illustration techniques using Adobe Illustrator tools to create vector graphics.   Develop and organize digital illustrations with effective use of layers, colors, and typography to suit various project requirements.   Export finalized di"
Digital Media Design,Digital Media Design,DMD,C120,DMD C120,Digital Media Pub (InDesign),"Design and set up publications using industry-standard layout techniques in Adobe InDesign.   Create and modify visual and typographic elements in a publication while adhering to design principles.   Prepare and export publications for print, web, and dig"
Digital Media Design,Digital Media Design,DMD,C121,DMD C121,Digital Video (Premiere),"Based on specified client/customer criteria, create a finished movie including graphics/photos, video, sound, text, effects, and basic animation that can be exported in various formats."
Digital Media Design,Digital Media Design,DMD,C122,DMD C122,Motion Grphics (After Effects),"Based on specified client/customer criteria, create a professional-looking finished composite video project that includes still graphics, video, text, masks, 3D effects, and basic animation that can be exported in various formats."
Digital Media Design,Digital Media Design,DMD,C131,DMD C131,Digital Photography/Photoshop,"Based on specified client/customer criteria, create digital photo projects with images from a digital camera using Photoshop to enhance, correct and crop the images, for print, the web or digital frames."
Digital Media Design,Digital Media Design,DMD,C135,DMD C135,Digital Media Design Princpls,"Based on specific project criteria, analyze project requirements and fundamental design principles to create digital media projects.   Demonstrate proficiency in design tools and techniques by integrating typography, color, and imagery to enhance visual c"
Digital Media Design,Digital Media Design,DMD,C136,DMD C136,Digital Media Business Basics,"Select, organize and create appropriate portfolio pieces to build a professional industry-standard digital portfolio.  Assess and apply business basics to run a freelance business.  Demonstrate relevant soft skills necessary to succeed in a professional c"
Digital Media Design,Digital Media Design,DMD,C150,DMD C150,Drone Photography,"Given a drone (small unmanned aerial vehicle) and a camera or drone-simulator, capture and edit still images from an aerial perspective.  Given a drone (small unmanned aerial vehicle) and a camera or drone-simulator, capture and edit video content capture"
Education Studies,Education,EDUC,C094N,EDUC C094N,Intro Online Learning & Canvas,"Explain the basic framework of online learning and navigate and use the basic features of key technology tools for online learning, including the learning management platform and videoconferencing software.  Identify resources outside of the classroom env"
Education Studies,Education,EDUC,C095N,EDUC C095N,Academic Expectations Online,"Recognize general and specific academic expectations for online courses and apply these expectations to assignments, discussions, quizzes/tests, and other course submissions."
Education Studies,Education,EDUC,C096N,EDUC C096N,Communicating Online Classes,"Communicate effectively and appropriately with college instructors, classmates, and college support services staff using their student email, discussion forums, and other methods."
Education Studies,Education,EDUC,C097N,EDUC C097N,What You Need to Succeed,"Identify and use posted information, the Internet, and campus resources to resolve various questions or challenges that may arise in online learning."
Education Studies,Education,EDUC,C098N,EDUC C098N,Managing Your Time Online,Design a personalized organizational system using time management strategies and tools in order to support success in their online classes.
Education Studies,Education,EDUC,C099N,EDUC C099N,Study Skills Online Learning,"Create a study plan using ongoing self-assessment of learning and online study, notetaking, and reading strategies."
Education Studies,Education,EDUC,C101,EDUC C101,Tutor Training,Meet a tutee's needs by demonstrating appropriate tutoring skills.
Education Studies,Education,EDUC,C103,EDUC C103,Intro to Comptrs in Education,"Based on the Technology Standard for a California K-12 Preliminary Teaching Credential, use computer skills as a tool to integrate technology into the curriculum and create a portfolio of teacher materials to be used in a classroom."
Education Studies,Education,EDUC,C104,EDUC C104,Intro Teaching and Learning,"Analyze and evaluate teaching events and classroom environments based on application of the California Standards for the Teaching Profession and Teacher Performance Expectations related to learning environments, subject matter presentation, instructional "
Education Studies,Education,EDUC,C180,EDUC C180,Family/Sch/Comm Partnerships,"Promote respectful, reciprocal relationships that support and empower family and community involvement in a school/classroom setting.  Reflect on, and begin to use a growing repertoire of strategies and skills that promote a positive learning and social e"
Education Studies,Education,EDUC,C200,EDUC C200,The Teaching Profession,"Demonstrate understanding of California professional standards and performance expectations for teachers by analyzing and evaluating teaching events, learning environments, student behavior, and instructor responsiveness to individual student differences."
Education Studies,Education,EDUC,C202,EDUC C202,CE/Community College Teaching,"Apply the principles of sound instructional techniques for community college-level teaching.  Create a new or existing course including a course syllabus, student evaluation and assessment instruments, exams, lesson plans, lecture outline, and overall cou"
Education Studies,Education,EDUC,C210,EDUC C210,Intro to Special Education,"Identify and assess atypical individual development (e.g., physical, learning, emotional, and behavioral patterns) in conjunction with parental, legal, and service provider input to determine appropriate instructional accommodations and intervention plans"
Education Studies,Education,EDUC,C211,EDUC C211,Media Literacy Teacher Toolkit,"Produce and/or repurpose instructional materials, using graphic, video, audio, and social media content creation tools, following the framework of how media is currently designed, shared and consumed by students, teachers, and parents."
Emergency Management and Homeland Security,Criminal Justice,CJ,C110,CJ C110,Criminal Investigation,"Given a case study, explain important case management concepts when dealing with crimes against persons and/or property.  Given a case study, analyze important investigative principles related to death investigations, including cause of death, legal chara"
Emergency Management and Homeland Security,Criminal Justice,CJ,C128,CJ C128,Criminal Procedure," Given a United States Supreme Court judicial opinion, prepare a law case brief that correctly analyzes constitutional principles related to operational police practices.   Given a contemporary legal topic, justify constitutional search and seizure legal "
Emergency Management and Homeland Security,Criminal Justice,CJ,C135,CJ C135,Introduction to Policing," Given a hypothetical field scenario, prepare a persuasive essay that correctly analyzes American policing concepts related to operational police practices.   Given a law enforcement code of conduct, evaluate police adherence to the code and potential cau"
Emergency Management and Homeland Security,Criminal Justice,CJ,C140,CJ C140,Intro to Criminal Justice,"Given a contemporary criminal justice article, summarize the author's main themes by properly evaluating legal and social science research.  Given a research project, evaluate and critique arguments for and/or against selected methods of controlling crimi"
Emergency Management and Homeland Security,Criminal Justice,CJ,C141,CJ C141,Criminal Law,"Given a United States Supreme Court judicial opinion, prepare a law case brief that correctly analyzes constitutional principles related to operational police practices.  Given a law review article, summarize important philosophical legal doctrines, demon"
Emergency Management and Homeland Security,Criminal Justice,CJ,C146,CJ C146,Communication for CJ,"Given a scenario based upon an interview of a crime victim, prepare a variety of clear, concise, well-organized, grammatically correct criminal justice reports.  Given a video and/or written example of a completed crime, select well designed investigative"
Emergency Management and Homeland Security,Criminal Justice,CJ,C148,CJ C148,Cultural Studies in CJ,"Given a field assignment, apply fundamental concepts of tolerance and diversity to law enforcement interaction within a multicultural community.  Given a case scenario, evaluate basic ways in which law enforcement can demonstrate cultural awareness, under"
Emergency Management and Homeland Security,Emergency Management,EMGT,C101,EMGT C101,Intro to Emergency Mgmt,"After reviewing a historical American disaster event, evaluate a group emergency response emphasizing the coordination of government, private, and non-profit organizations."
Emergency Management and Homeland Security,Emergency Management,EMGT,C102,EMGT C102,Intro to Homeland Security,"Given a case study, discuss the nature of the threat of terrorism in America and the ways this threat has changed over the last thirty years.  Given a legal scenario, asses the constitutional considerations and legal authority in American homeland securit"
Emergency Management and Homeland Security,Emergency Management,EMGT,C105,EMGT C105,Emergency Preparedness,"Given selected demographic data, identify the types of hazards that could threaten a community and evaluate a selected hazard's potential impact.  Given a disaster scenario, outline the hazard assessment process using basic emergency management preparedne"
Emergency Management and Homeland Security,Emergency Management,EMGT,C110,EMGT C110,Emergency Response,"Given a disaster case study, prepare a comprehensive Incident Action Plan utilizing an integrated emergency management approach.  Given a tabletop exercise, manage a mock disaster scenario using effective decision-making that incorporate high-risk consequ"
Emergency Management and Homeland Security,Emergency Management,EMGT,C120,EMGT C120,Disaster Recovery,"Given a disaster case study, develop a comprehensive recovery plan utilizing the principals of holistic recovery and the concepts of emergency management.  Utilizing the principals of emergency management, explain why recovery is a process rather than jus"
Emergency Management and Homeland Security,Emergency Management,EMGT,C130,EMGT C130,Hazard Mitigation,"Given a case study, analyze the role that hazard mitigation plays within a comprehensive emergency management system.  Given a current disaster scenario, explain the basic principles of hazard mitigation as well as the techniques used in hazard mitigation"
Emergency Management and Homeland Security,Emergency Management,EMGT,C140,EMGT C140,Crisis Response,"Given a disaster case study, prepare a comprehensive debrief checklist for emergency responders that incorporate a comprehensive after-action follow-up plan.  Given a tabletop exercise, recognize the types of psychological and physical symptoms that can n"
Emergency Management and Homeland Security,Emergency Management,EMGT,C150,EMGT C150,Special Populations,"Given a detailed map of a community, properly identify the locations that house special populations that may be impacted during a critical incident.  Given a tabletop exercise, list the steps first-responders must take in appropriately identifying special"
Emergency Management and Homeland Security,Emergency Management,EMGT,C160,EMGT C160,Introduction to PIO,"Given a scenario, list the duties of a public information officer during an incident.  Given a case study, demonstrate clear competence in the delivery of a press release."
Emergency Management and Homeland Security,Emergency Management,EMGT,C172,EMGT C172,Intel Analysis & Sec Mang,"Demonstrate operational knowledge of intelligence gathering and analysis pertinent to homeland security and other threats facing government and private sectors.  Enumerate specific methods and/or techniques for obtaining intelligence, synthesizing it and "
Emergency Management and Homeland Security,Emergency Management,EMGT,C174,EMGT C174,Transportation/Border Security,"Outline the primary United States federal and state/local agencies affiliated with Border Security and Transportation Security (including DHS and DOT their resources, and the ethical parameters in which they operate).  Assess general vulnerabilities and r"
English and Humanities,English,ENGL,C060N,ENGL C060N,Esports Writing Careers,Describe the history and development of the esports ecosystem.  Demonstrate responsible digital citizenship.  Create social media content or other relevant short writing samples using appropriate language and tone.
English and Humanities,English,ENGL,C080N,ENGL C080N,Writing Center,Identify one study strategy to increase course success.  Identify one strategy to reduce anxiety in reading and writing.
English and Humanities,English,ENGL,C100,ENGL C100,Academic Reading and Writing,"Write organized and logical essays that demonstrate awareness of purpose and audience and exhibit clear thesis statements, topic sentences, and supporting details.  Demonstrate application of academic grammar for clear and accurate communication.  Identif"
English and Humanities,English,ENGL,C101,ENGL C101,Critical Thinking through Lit,"Evaluate, analyze, and critique works of fiction, poetry, and drama in essays.  Identify, analyze, and compare literary elements such as plot, character, theme, imagery, dialogue, setting, symbolism, line, meter, and rhythm in literary works.  Evaluate th"
English and Humanities,English,ENGL,C102,ENGL C102,Critical Thinking and Writing,Write well-organized and reasoned arguments in Standard English that demonstrate critical analysis supported by sufficient evidence.  Evaluate secondary sources and cite those sources correctly using MLA and/or APA documentation in a research essay of sub
English and Humanities,English,ENGL,C103,ENGL C103,Business English,Demonstrate Standard English principles when writing and editing business-related documents.
English and Humanities,English,ENGL,C109,ENGL C109,Essay Writing,"Using Standard English, students will write organized, developed, mechanically correct essays in a variety of rhetorical modes that include a thesis statement, supporting topic sentences, and supporting details.  Using critical reading and analytical thin"
English and Humanities,English,ENGL,C128,ENGL C128,Asian Amer/Transpacific Lit,"Analyze selected works by Asian and Asian American authors with attention to theme, plot, character development, symbolism, and the use of language.  Identify and analyze the aesthetic, political, and historical contexts of different Asian and Asian Ameri"
English and Humanities,English,ENGL,C129,ENGL C129,Intro to African American Lit,"Analyze selected works by African American authors with attention to theme, plot, character development, symbolism, and the use of language.  Identify and analyze the aesthetic, political, social, and historical contexts of different African American auth"
English and Humanities,English,ENGL,C133,ENGL C133,Creative Writing,"Distinguish key elements of the four main genres--fiction, drama, creative nonfiction, and poetry--and incorporate key elements of each genre into original works.  Evaluate amateur and professional writers' mastery of key elements of the four genres using"
English and Humanities,English,ENGL,C135,ENGL C135,Business Writing,"Select the appropriate written medium and prepare a professional, concise, and grammatically correct letter, memorandum, or e-mail message.  Prepare a professional, concise, and grammatically correct proposal or report.  Present content using media and de"
English and Humanities,English,ENGL,C136,ENGL C136,Business Communication,"Create a targeted cover letter or email and resume for a specific job posting using clear, concise, and grammatically correct professional language.   Produce a business-related analytical report, which includes an executive summary, documented sources, a"
English and Humanities,English,ENGL,C140,ENGL C140,Introduction to Literature,"Analyze and critique stories, novels, plays, and poetry with attention to structure, theme, plot, character development, symbolism, and the use of language.  Compare and contrast literary aspects in stories, poetry, drama, and novels."
English and Humanities,English,ENGL,C143,ENGL C143,Children's Literature,"Analyze selected texts in terms of plot, characterization, and theme.  Evaluate, in written responses, the historical development, current trends, and enduring characteristics of children's and young adult literature."
English and Humanities,English,ENGL,C144,ENGL C144,International Short Story,"Analyze short stories in terms of plot, characterization, and theme.  Evaluate each author's work in terms of narrative style and descriptive technique, language, tone or mood, and literary conventions."
English and Humanities,English,ENGL,C145,ENGL C145,American Lit: The Short Story,"Analyze short stories in terms of plot, characterization, and theme.  Evaluate each author's work in terms of narrative style and descriptive technique, language, tone or mood, and literary conventions."
English and Humanities,English,ENGL,C146,ENGL C146,Intro 20th Cen. Military Fict.,"Analyze selected readings in terms of plot, characterization, theme, and social values in selected works of military fiction.  Analyze examples of literary stylistic devices used by the authors, such as symbolism, imagery, and irony.  Describe, in written"
English and Humanities,English,ENGL,C150,ENGL C150,American Lit thru Civil War,"Parallel the events in an author's life, time, and culture with the development of his or her writing.  Analyze stylistic devices used by authors and poets such as symbolism, imagery, irony, meter, rhyme, and other literary conventions."
English and Humanities,English,ENGL,C155,ENGL C155,American Lit 1865 to Present,"Explain how the literary, historical, political, sociocultural, intellectual, and/or aesthetic forces of a post-Civil War authorâ€™s time period are engaged in a given literary work.  Critically analyze and interpret a literary work through considering li"
English and Humanities,English,ENGL,C165,ENGL C165,Technical Writing,"Produce informational documents, covering multiple subjects and careers, that are clear, precise, organized, grammatically correct, and audience-oriented.   Evaluate, interpret, and summarize technical readings from varied genres, modes, industries, and a"
English and Humanities,English,ENGL,C181,ENGL C181,Shakespeare,"Analyze how the language (metaphor, diction, verse and prose forms, jokes, and wordplay) contributes to an interpretation of the play.  Examine the major themes of various Shakespeare's plays and analyze the focal idea in each work."
English and Humanities,English,ENGL,C270,ENGL C270,British Literature to 1800,"Explain the relationship between the events in an author's life, time, and culture and the development of his or her writing.  Analyze stylistic devices used by authors and poets such as symbolism, imagery, irony, tone, meter, rhyme, and other literary co"
English and Humanities,English,ENGL,C275,ENGL C275,British Literature since 1800,"Explain the relationship between the events in an author's life, time, and culture and the development of his or her writing.  Analyze stylistic devices and literary conventions used by the authors and poets such as symbolism, imagery, tone, irony, meter,"
English and Humanities,English,ENGL,C296,ENGL C296,Gothic Victorian Literature,"Analyze the evolution of core themes of the Gothic genre from 1764 through the 1900s.  Critique selected Gothic texts in terms of gender, class, and race."
English and Humanities,English,ENGL,C297,ENGL C297,American Gothic Literature,"Appraise the evolution of the contemporary Gothic genre and its core themes.  Evaluate selected contemporary Gothic texts in terms of gender, class, and race."
English and Humanities,Humanities,HUM,C100,HUM C100,Introduction to the Humanities,"Identify and reflect on how humanistic achievements and the human imagination are reflections of and influenced by culturally grounded practices, values, and beliefs.  Reflect on and communicate about the ways the humanities connect to the student's own, "
English and Humanities,Humanities,HUM,C110,HUM C110,Humanities through the Arts,"Analyze Western thought and aspiration through literature, theater, film, music, architecture, sculpture, painting, television, video art, and photography.  Evaluate the historical framework and development of the humanities in Western civilization, inclu"
English and Humanities,Humanities,HUM,C135,HUM C135,History/Appreciation of Cinema,Demonstrate mastery of the vocabulary of cinematography.  Distinguish among film genres and compare and contrast selected films.  Identify major historical movements and cultural periods as they are reflected and expressed in each film.
English as a Second Language,English as a Second Language,ESL,C011N,ESL C011N,Sentence Structure 1,"Given writing prompts, write simple grammatically-correct English sentences with subjects, verbs, and objects.  In a conversation, appropriately ask and answer simple questions."
English as a Second Language,English as a Second Language,ESL,C012N,ESL C012N,Reading and Writing 1,"Given a short reading passage, explain its content in complete sentences.  After reading a short paragraph, correctly identify its main idea and supporting details."
English as a Second Language,English as a Second Language,ESL,C013N,ESL C013N,Listening and Conversation 1,"Respond correctly and appropriately to simple spoken commands in English.  In a spontaneous conversation, ask and answer questions appropriately, using grammatically-correct English sentences."
English as a Second Language,English as a Second Language,ESL,C016N,ESL C016N,Basic Computer Term. & Skills,"Access a college website, computer, network, or Wi-Fi with a username and password.  Complete and submit an assignment through the course learning management system."
English as a Second Language,English as a Second Language,ESL,C022N,ESL C022N,"Reading, Writing, Grammar 1B","Correctly identify the main idea and supporting details after reading a text paragraph.  Given writing prompts, write grammatically-correct English sentences in the simple present, present progressive, and simple past and future tenses."
English as a Second Language,English as a Second Language,ESL,C023N,ESL C023N,Speaking and Listening 1B,"Respond correctly and appropriately to simple spoken commands in English.  In a spontaneous conversation, ask and answer questions correctly and appropriately."
English as a Second Language,English as a Second Language,ESL,C026N,ESL C026N,Computer Terminology & Apps,Send an appropriate email to your instructor.  Respond to a written prompt by uploading an appropriately edited word processor file to the course learning management system.
English as a Second Language,English as a Second Language,ESL,C032N,ESL C032N,"Reading, Writing, Grammar 2A","Given a simplified text, identify the main idea and supporting details.  Express original ideas in appropriate, grammatically-correct sentences in response to level-appropriate readings in academic and real-world settings."
English as a Second Language,English as a Second Language,ESL,C033N,ESL C033N,Speaking and Listening 2A,Participate in short conversations and accurately report information given by others.  Demonstrate sufficient mastery of English phonemes and intonation patterns to make oneself understood when reading a short article or other reading passage aloud.
English as a Second Language,English as a Second Language,ESL,C035,ESL C035,"Grammar, Read, & Write 3A","Given a simplified reading selection, identify stated and implied information and differentiate between fact and opinion in a written response.  Given a prompt, write a unified paragraph with a topic sentence, supporting details, and a conclusion."
English as a Second Language,English as a Second Language,ESL,C035N,ESL C035N,"Grammar, Read, & Write 3A","Given a simplified reading selection, identify stated and implied information and differentiate between fact and opinion in a written response.  Given a prompt, write a unified paragraph with a topic sentence, supporting details, and a conclusion."
English as a Second Language,English as a Second Language,ESL,C039,ESL C039,"Grammar, Read, & Write 3B","Given a nonsimplified reading selection, differentiate between facts and opinions and evaluate support for the opinions in a written response.  Given a writing prompt, write a unified, coherent paragraph with an effective topic sentence and details and an"
English as a Second Language,English as a Second Language,ESL,C042N,ESL C042N,"Reading, Writing, Grammar 2B","Correctly identify the main idea and supporting details in aÂ short reading passage.  Write a grammatically-correct paragraph with a topic sentence, supporting details, and a concluding sentence."
English as a Second Language,English as a Second Language,ESL,C043N,ESL C043N,Speaking and Listening 2B,Listen to a short news report or explanation and demonstrate understanding by taking notes and using them to report information to others accurately.  Demonstrate accurate pronunciation of English phonemes and intonation patterns in conversations on famil
English as a Second Language,English as a Second Language,ESL,C049,ESL C049,Listening/Speaking Skills 3A,"Demonstrate understanding of a simple lecture or report on an academic subject by taking notes and using them to report the main ideas and supporting details to others.  Demonstrate accurate pronunciation of targeted English phonemes, word stress, and int"
English as a Second Language,English as a Second Language,ESL,C049N,ESL C049N,Listening/Speaking Skills 3A,"Demonstrate understanding of a simple lecture or report on an academic subject by taking notes and using them to report the main ideas and supporting details to others.  Demonstrate accurate pronunciation of targeted English phonemes, word stress, and int"
English as a Second Language,English as a Second Language,ESL,C052,ESL C052,Listening/Speaking Skills 3B,Demonstrate understanding of oral arguments by taking notes and using them to report claims and evidence presented in the arguments.  Demonstrate accurate pronunciation of English phonemes and intonation patterns in casual conversation.
English as a Second Language,English as a Second Language,ESL,C054,ESL C054,"Grammar, Read, & Write 4A","Given a short argument essay or article, accurately paraphrase and summarize the main ideas and supporting arguments.  Given a writing prompt on an academic topic, write a unified, coherent, grammatically-correct paragraph with a topic sentence, supportin"
English as a Second Language,English as a Second Language,ESL,C056,ESL C056,Listening/Speaking Skills 4,"Take notes on academic lectures or news reports and use them to report and explain the main ideas and supporting details to others.  Demonstrate strong control of English sounds, stress, and intonation in spontaneous conversation."
English as a Second Language,English as a Second Language,ESL,C095,ESL C095,ESL Support for Composition,Critically reason and comprehend college-level texts written in English.  Revise multiple-paragraph essays to incorporate academic vocabulary and correct grammar.
English as a Second Language,English as a Second Language,ESL,C095N,ESL C095N,ESL Support for Composition,Critically reason and comprehend college-level texts written in English.  Revise multiple-paragraph essays to incorporate academic vocabulary and correct grammar.
English as a Second Language,English as a Second Language,ESL,C099,ESL C099,Advanced Composition,"Write a unified, coherent, grammatically-correct paragraph with a topic sentence, supporting details, and  an appropriate conclusion.  Write a grammatically-correct, well-developed, multi-paragraph essay that includes an introduction, supporting details, "
English as a Second Language,English as a Second Language,ESL,C100,ESL C100,Freshman Comp for ESL,"Write organized and logical essays that demonstrate awareness of purpose and audience that exhibit clear thesis statements, topic sentences, and supporting details.   Identify, evaluate, analyze, and interpret primary and secondary sources and use these s"
Health Sciences,Foods and Nutrition,FN,C032N,FN C032N,Nutrition for Esports,Apply principles of nutrition to optimize dietary intake to meet physical and mental demands of gaming.
