Program,PSLO ID,PSLO,Course
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",CJ C128
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",CJ C135
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",CJ C141
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",CJ C146
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",CJ C148
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",MS C101
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",MS C102
"Emergency Management/Homeland Security: Criminal Justice, Associate of Arts Degree",PSLO 1,"Classify the roles, functions and interdependency between local, state, federal and international law enforcement to effectively coordinate disaster events. PSLO 2: Identify, describe and analyze the wide range of threats to national security, inc",MS C144
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C102
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C101
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C140
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C150
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C155
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C270
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C275
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C135
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C136
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C143
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C144
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C145
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C146
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C181
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C296
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C297
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",HUM C100
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",THEA C101
"English, Associate of Arts Degree",PSLO 1,"Write well-organized, well-developed expository essays in a variety of rhetorical modes, using Standard English, with a clear thesis statement and supporting topic sentences and supporting details. PSLO 2: Search for and find reliable, unbiased so",ENGL C111
"French, Associate of Arts Degree",PSLO 1,Demonstrate appropriate level written and spoken fluency in the language. PSLO 2: Demonstrate understanding and respect for the cultural and global diversity in the francophone countries.,FREN C180
"French, Associate of Arts Degree",PSLO 1,Demonstrate appropriate level written and spoken fluency in the language. PSLO 2: Demonstrate understanding and respect for the cultural and global diversity in the francophone countries.,FREN C185
"French, Associate of Arts Degree",PSLO 1,Demonstrate appropriate level written and spoken fluency in the language. PSLO 2: Demonstrate understanding and respect for the cultural and global diversity in the francophone countries.,FREN C280
"French, Associate of Arts Degree",PSLO 1,Demonstrate appropriate level written and spoken fluency in the language. PSLO 2: Demonstrate understanding and respect for the cultural and global diversity in the francophone countries.,FREN C285
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C161
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C162
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C170
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C175
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",ANTH C100
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",ART C100
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",ART C101
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",ECON C110
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",ETHS C123
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C123
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",GEOG C100
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C115
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C121
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C122
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C135
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C150
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C155
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C180
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",HIST C185
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",PSCI C180
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",PSCI C185
"History, Associate of Arts Degree",PSLO 1,"Critically evaluate the social, cultural, political and/or economic characteristics of past societies and explain how and why these characteristics change over time. PSLO 2: Analyze the meaning of primary and/or secondary historical sources and th",SOC C100
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",BIOL C102
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",FN C170
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",HLTH C100
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",KIN C190
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",HLTH C230
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",PSYC C230
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",KIN C202
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",KIN C125
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",KIN C289
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",FN C180
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",FN C225
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",GERO C225
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",HLTH C220
"Health Science, Associate of Arts Degree",PSLO 1,"Apply major theories and concepts of health, nutrition, and kinesiology to facilitate behavior change for lifestyle modification. PSLO 2: Critically evaluate health-related information and scientific research to formulate opinions/ideas. PSLO 3: U",HLTH C120
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C100
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C101
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C102
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C104
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C273
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,ANTH C100
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,GERO C220
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C220
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,GERO C230
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C105
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,HSVC C106
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,PSYC C100
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,PSYC C116
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,PSYC C170
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,GERO C170
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,SOC C100
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,SOC C110
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,SOC C120
"Human Services, Associate of Arts Degree",PSLO 1,Utilize human services helping skills and resources to enhance career prospects. PSLO 2: Demonstrate intervention skills within fields of human services.,GERO C121
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",CMST C110
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C100
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C102
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",PHIL C115
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",CHEM C140
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",PHYS C140
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",GEOL C105
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",GEOL C106
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",BIOL C100
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",BIOL C100C
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",BIOL C100L
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",GEOL C105L
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",MATH C103
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",MATH C104
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",MATH C106
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",MUS C100
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",THEA C100
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C140
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C150
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C155
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C181
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C270
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C275
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",PHIL C120
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",HIST C170
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",PSCI C180
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",GEOG C100
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",HIST C150
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",HIST C161
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",PSYC C116
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C103
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C104
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C200
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C101
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C180
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",EDUC C210
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",ENGL C143
"Liberal Studies (for Teaching), Associate of Arts Degree",PSLO 1,"Apply knowledge, skills, experience, and feedback to make an informed choice to be employed or to continue study in the field of education. PSLO 2: Document preliminary subject matter competency and ability to work effectively with students, teach",HLTH C100
"Mathematics, Associate of Arts Degree",PSLO 1,"Select and apply correct quantitative methods to find the correct solution to a problem in familiar or unique situations or contexts. PSLO 2: Accurately interpret and create mathematical models such as formulas, graphs, tables, and schematics; inc",MATH C180
"Mathematics, Associate of Arts Degree",PSLO 1,"Select and apply correct quantitative methods to find the correct solution to a problem in familiar or unique situations or contexts. PSLO 2: Accurately interpret and create mathematical models such as formulas, graphs, tables, and schematics; inc",MATH C185
"Mathematics, Associate of Arts Degree",PSLO 1,"Select and apply correct quantitative methods to find the correct solution to a problem in familiar or unique situations or contexts. PSLO 2: Accurately interpret and create mathematical models such as formulas, graphs, tables, and schematics; inc",MATH C280
"Mathematics, Associate of Arts Degree",PSLO 1,"Select and apply correct quantitative methods to find the correct solution to a problem in familiar or unique situations or contexts. PSLO 2: Accurately interpret and create mathematical models such as formulas, graphs, tables, and schematics; inc",MATH C285
"Paralegal Studies, Associate of Arts Degree",PSLO 1,Analyze and communicate conclusions both orally and in writing. PSLO 2: Apply legal concepts to the clients’ problems. PSLO 3: Apply legal ethics in the paralegal field.,LAW C100
"Paralegal Studies, Associate of Arts Degree",PSLO 1,Analyze and communicate conclusions both orally and in writing. PSLO 2: Apply legal concepts to the clients’ problems. PSLO 3: Apply legal ethics in the paralegal field.,LAW C127
"Paralegal Studies, Associate of Arts Degree",PSLO 1,Analyze and communicate conclusions both orally and in writing. PSLO 2: Apply legal concepts to the clients’ problems. PSLO 3: Apply legal ethics in the paralegal field.,LAW C128
"Paralegal Studies, Associate of Arts Degree",PSLO 1,Analyze and communicate conclusions both orally and in writing. PSLO 2: Apply legal concepts to the clients’ problems. PSLO 3: Apply legal ethics in the paralegal field.,LAW C105
